topic,description,cloud terms
Product Strategy,"Define a durable product direction while balancing customer value, commercial outcomes, operational constraints, and long-term differentiation.","A clearly articulated product vision that teams can use for everyday prioritisation; Evidence-based roadmap sequencing across immediate medium-term and long-term opportunities; Sustainable competitive differentiation in a rapidly changing market; Cross-functional alignment around measurable customer and business outcomes; Portfolio investment decisions based on strategic value and delivery confidence; Assumptions that must be validated before committing significant engineering capacity; Market signals that could materially change the current product direction; Product principles that make difficult prioritisation decisions more consistent; Strategic trade-offs between platform foundations and customer-facing capabilities; Success measures connecting product adoption retention revenue and customer satisfaction; Scenarios for responding to disruptive competitors and emerging technologies; Decision-making ownership across product design engineering sales and operations"
Customer Research,"Turn customer conversations, behavioural evidence, and market observations into reliable insights that improve product decisions.","Longitudinal customer interviews covering changing needs and recurring frustrations; Behavioural patterns observed across onboarding activation and repeat usage; Unmet needs that customers currently solve through manual workarounds; Research participant diversity across roles industries regions and experience levels; Contradictions between what customers say and what their behaviour demonstrates; High-confidence insights supported by multiple independent evidence sources; Opportunity areas requiring deeper qualitative or quantitative investigation; Customer language that should influence product messaging and interface terminology; Research bias risks introduced by recruitment interview design or interpretation; Cross-functional alignment around the meaning and limitations of research findings; Repository structure for preserving evidence decisions and unresolved questions; Feedback loops that show customers how their input influenced the product"
Artificial Intelligence and Automation,"Introduce responsible automation that improves outcomes without reducing transparency, user agency, safety, or trust.","Human review checkpoints for consequential automated recommendations and actions; Explainable outputs that communicate evidence uncertainty and important limitations; Evaluation datasets representing realistic edge cases and diverse user conditions; Continuous monitoring for quality regressions drift bias and unexpected behaviour; Safe fallback experiences when automation confidence falls below acceptable thresholds; Permission boundaries preventing automated access to unnecessary sensitive information; Model selection based on reliability latency cost privacy and maintainability; Clear ownership for incidents caused by automated decisions or generated content; User controls for correcting dismissing or disabling automated assistance; Audit trails connecting generated outputs to inputs versions and configuration; Responsible deployment criteria agreed across product engineering legal and security; Measurement of real productivity improvements rather than superficial engagement"
Platform Architecture,"Build a resilient technical foundation that supports product growth, team autonomy, maintainability, and predictable delivery.","Service boundaries aligned with stable business capabilities and ownership models; Migration strategy that reduces risk while replacing tightly coupled legacy components; Observability standards covering logs metrics traces alerts and operational dashboards; Capacity planning for seasonal demand unpredictable spikes and sustained growth; Data contracts that prevent silent integration failures between independent services; Resilience testing for dependency failures network degradation and regional outages; Technical debt prioritisation based on customer impact operational risk and delivery drag; Developer experience improvements that shorten feedback cycles and deployment lead time; Security controls embedded into architecture rather than added after implementation; Cost visibility connecting infrastructure consumption to products teams and customers; Backward compatibility expectations for APIs events schemas and client applications; Architecture decision records preserving context alternatives consequences and review dates"
Growth and Adoption,"Create sustainable acquisition, activation, engagement, and retention loops grounded in genuine customer value.","First-value experience that helps new users achieve a meaningful outcome quickly; Acquisition channels evaluated by customer quality rather than headline traffic volume; Activation milestones strongly correlated with long-term retention and expansion; Product education delivered contextually without overwhelming new or returning users; Habit-forming workflows based on recurring customer needs and natural usage frequency; Experiment guardrails preventing short-term conversion gains from damaging long-term trust; Segmentation that distinguishes new occasional returning power and at-risk users; Referral mechanics that create value for both the sender and the recipient; Lifecycle communication coordinated across product email support and customer success; Retention analysis separating preventable churn from structural or seasonal changes; Cross-functional alignment around shared funnel definitions and measurement standards; Growth investments prioritised by expected learning value impact confidence and effort"
Security and Privacy,"Protect customer information and critical workflows through proportionate controls, clear ownership, and privacy-conscious design.","Least-privilege access across employees services integrations and administrative tools; Data minimisation throughout collection processing storage sharing and deletion; Threat modelling for new capabilities before implementation decisions become expensive; Secure defaults that protect customers without requiring specialist configuration; Incident response roles escalation paths communication templates and recovery exercises; Authentication protections balancing usability account recovery and attack resistance; Dependency and supply-chain monitoring for vulnerable or compromised components; Privacy reviews for analytics experimentation artificial intelligence and third-party services; Customer-visible controls for consent retention export correction and deletion; Security logging designed for investigation without collecting unnecessary sensitive data; Cross-functional alignment between engineering product legal compliance and operations; Regular validation of controls through testing audits exercises and production evidence"
Data and Analytics,"Create trusted data products and decision systems that make evidence accessible, understandable, and actionable.","Shared metric definitions with owners calculation logic caveats and review dates; Data quality monitoring for completeness accuracy freshness consistency and uniqueness; Event instrumentation plans aligned with specific decisions and product hypotheses; Self-service reporting that preserves governance context and appropriate access controls; Experiment analysis accounting for novelty effects sample bias and unintended consequences; Leading indicators connected carefully to durable customer and business outcomes; Data lineage from source systems through transformations to dashboards and models; Decision records explaining how evidence influenced priorities and resource allocation; Analytical segmentation that remains stable enough for meaningful longitudinal comparison; Privacy-preserving approaches to behavioural analysis and customer-level reporting; Cross-functional alignment around one authoritative interpretation of core metrics; Retirement process for obsolete dashboards pipelines metrics and duplicated datasets"
Accessibility and Inclusive Design,"Make core experiences perceivable, operable, understandable, and robust for people with diverse abilities and contexts.","Keyboard navigation across every interactive workflow without focus traps; Screen-reader semantics that communicate structure state feedback and relationships; Colour contrast and non-colour indicators for status categories errors and selection; Responsive text sizing without clipping overlap truncation or loss of functionality; Captions transcripts and alternatives for audio video and visual-only information; Clear error recovery using specific guidance rather than generic failure messages; Motion controls for people affected by animation parallax or flashing content; Touch targets and spacing suitable for motor impairments and mobile environments; Plain language supporting comprehension across expertise literacy and language differences; Accessibility acceptance criteria included in design development testing and release; Research participation including people who use assistive technologies regularly; Cross-functional alignment around accessibility ownership training and continuous improvement"
Operational Excellence,"Improve reliability and service quality through measurable standards, rapid learning, and disciplined operational practices.","Service-level objectives based on customer journeys rather than isolated infrastructure metrics; Alerting that identifies actionable symptoms while reducing fatigue and duplicated noise; Runbooks containing diagnosis mitigation escalation communication and recovery steps; Post-incident reviews focused on system improvements instead of individual blame; Change management proportional to risk reversibility complexity and customer exposure; Automated rollback or containment for releases that exceed agreed failure thresholds; Dependency ownership maps covering internal services vendors and critical integrations; Capacity and continuity planning tested through realistic failure and recovery exercises; Operational dashboards connecting technical health to customer-visible consequences; Maintenance work prioritised alongside features through transparent risk assessment; Cross-functional alignment during incidents across engineering support product and leadership; Learning loops that convert recurring support issues into product and platform improvements"
Future Opportunities,"Explore emerging customer needs, technologies, partnerships, and market shifts without prematurely committing the core roadmap.","Weak market signals that may indicate meaningful long-term behavioural change; Adjacent customer problems that reuse existing capabilities relationships or distribution; Emerging technologies evaluated through customer outcomes rather than novelty alone; Partnership models that accelerate learning access capability or trusted distribution; Small reversible experiments designed to invalidate assumptions quickly and cheaply; Regulatory economic and social changes that could reshape customer priorities; Scenarios describing plausible futures and the capabilities each would require; Intellectual property and defensibility considerations for strategically important innovations; Cross-functional alignment on exploration budgets time horizons and decision checkpoints; Evidence thresholds for advancing pausing reshaping or stopping an opportunity; Portfolio balance across core improvements adjacent expansion and transformational bets; Knowledge capture ensuring unsuccessful experiments still improve future decisions"
